#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore	evalue
GPALN_006366-T1	GLOROS_008625	281	165	52	89	149	85.235	227	9.29e-81
GPALN_005656-T1	GLOROS_004041	437	487	100	91	441	97.052	887	0.00e+00
GPALN_006016-T1	GLOROS_016910	207	100	53	98	110	70.000	151	4.18e-48
GPALN_002699-T1	GLOROS_006471	527	567	83	82	479	77.662	671	0.00e+00
GPALN_007356-T1	GLOROS_000521	516	504	84	82	413	99.074	700	0.00e+00
GPALN_013984-T1	GLOROS_015874	677	332	53	97	357	84.874	611	0.00e+00
GPALN_001672-T1	GLOROS_004703	399	393	93	96	376	86.968	671	0.00e+00
GPALN_005503-T1	GLOROS_004231	262	228	87	100	228	100.000	474	7.68e-173
GPALN_012560-T1	GLOROS_011474	544	544	100	100	544	99.449	1108	0.00e+00
GPALN_001204-T1	GLOROS_003401	353	356	100	99	353	92.351	608	0.00e+00
GPALN_002562-T1	GLOROS_006279	145	145	100	100	145	98.621	295	2.02e-105
GPALN_005353-T1	GLOROS_007149	129	152	100	85	129	97.674	263	1.23e-92
GPALN_003542-T1	GLOROS_007611	399	330	86	100	348	90.517	621	0.00e+00
GPALN_011460-T1	GLOROS_001362	213	210	100	100	213	97.183	422	1.75e-153
GPALN_002904-T1	GLOROS_006765	713	617	89	98	638	89.028	1078	0.00e+00
GPALN_000033-T1	GLOROS_001862	133	133	100	100	133	100.000	272	1.56e-96
GPALN_006173-T1	GLOROS_008359	390	398	97	95	395	85.570	650	0.00e+00
GPALN_007963-T1	GLOROS_009338	302	302	100	100	302	93.709	598	0.00e+00
GPALN_016066-T1	GLOROS_015632	225	225	100	100	225	96.444	446	2.59e-162
GPALN_001175-T1	GLOROS_003354	134	93	66	96	89	95.506	172	1.74e-57
GPALN_008545-T1	GLOROS_012753	311	311	100	100	311	96.785	637	0.00e+00
GPALN_000692-T1	GLOROS_002681	124	125	100	100	125	84.800	115	7.68e-35
GPALN_014054-T1	GLOROS_000353	607	499	68	85	431	90.255	654	0.00e+00
GPALN_005527-T1	GLOROS_004197	295	167	56	98	164	98.171	341	1.66e-120
GPALN_010482-T1	GLOROS_007929	436	396	84	93	368	82.337	595	0.00e+00
GPALN_012608-T1	GLOROS_011413	652	506	75	100	511	84.736	851	0.00e+00
GPALN_013235-T1	GLOROS_005532	79	80	100	100	80	86.250	139	1.53e-45
GPALN_007675-T1	GLOROS_005894	769	734	95	99	731	93.023	1390	0.00e+00
GPALN_001233-T1	GLOROS_003437	1049	1024	90	94	945	87.004	1757	0.00e+00
GPALN_003715-T1	GLOROS_007402	218	218	100	100	218	98.624	448	2.19e-163
GPALN_008238-T1	GLOROS_012338	373	305	80	100	310	83.226	404	6.03e-142
GPALN_006394-T1	GLOROS_008665	249	184	74	100	184	96.739	367	2.36e-131
GPALN_009079-T1	GLOROS_013188	574	574	100	100	576	93.576	1053	0.00e+00
GPALN_004616-T1	GLOROS_010105	620	494	80	99	493	97.769	1004	0.00e+00
GPALN_001087-T1	GLOROS_003204	659	514	63	80	416	85.096	675	0.00e+00
GPALN_012569-T1	GLOROS_011464	149	149	100	100	149	100.000	297	8.34e-106
GPALN_015543-T1	GLOROS_009045	930	782	75	94	738	92.141	1382	0.00e+00
GPALN_000556-T1	GLOROS_002554	390	340	84	96	328	96.646	653	0.00e+00
GPALN_013550-T1	GLOROS_004345	434	293	60	89	260	98.462	545	0.00e+00
GPALN_001569-T1	GLOROS_004842	471	472	99	99	469	97.868	941	0.00e+00
GPALN_005818-T1	GLOROS_000144	246	159	63	97	154	93.506	303	1.56e-106
GPALN_014687-T1	GLOROS_014655	122	122	100	100	122	92.623	241	2.15e-84
GPALN_016005-T1	GLOROS_018021	677	624	86	93	582	99.141	1202	0.00e+00
GPALN_001369-T1	GLOROS_005082	175	137	78	100	137	97.080	270	1.12e-94
GPALN_014916-T1	GLOROS_001788	60	94	82	52	49	81.633	86.3	1.28e-24
GPALN_009162-T1	GLOROS_013292	966	751	79	100	763	97.772	1543	0.00e+00
GPALN_014886-T1	GLOROS_011904	492	493	100	100	493	96.755	975	0.00e+00
GPALN_002574-T1	GLOROS_006299	154	156	100	100	156	87.821	281	2.62e-99
GPALN_012867-T1	GLOROS_000851	152	152	100	100	152	95.395	287	7.50e-102
GPALN_001572-T1	GLOROS_004836	588	535	96	100	565	82.655	862	0.00e+00
GPALN_002451-T1	GLOROS_006116	77	77	100	100	77	98.701	155	5.65e-52
GPALN_013528-T1	GLOROS_004321	126	126	100	100	126	96.825	242	9.14e-85
GPALN_008473-T1	GLOROS_012648	1055	934	60	68	645	90.698	1077	0.00e+00
GPALN_013794-T1	GLOROS_015191	155	165	97	92	151	98.675	302	1.09e-107
GPALN_009409-T1	GLOROS_003768	476	403	80	99	397	87.406	685	0.00e+00
GPALN_000720-T1	GLOROS_002716	367	275	75	99	274	98.905	561	0.00e+00
GPALN_005601-T1	GLOROS_004103	453	387	84	98	382	91.099	655	0.00e+00
GPALN_000705-T1	GLOROS_002700	660	646	99	99	661	86.989	1133	0.00e+00
GPALN_006218-T1	GLOROS_008418	108	108	100	100	108	98.148	216	3.05e-75
GPALN_010142-T1	GLOROS_013567	478	326	60	86	280	91.638	522	0.00e+00
GPALN_013452-T1	GLOROS_016739	218	196	81	90	177	98.305	362	9.26e-130
GPALN_002032-T1	GLOROS_004599	330	317	96	100	318	97.170	643	0.00e+00
GPALN_008172-T1	GLOROS_012250	341	349	99	97	339	97.935	683	0.00e+00
GPALN_005459-T1	GLOROS_007295	445	277	62	100	277	99.278	576	0.00e+00
GPALN_013950-T1	GLOROS_017373	268	362	99	74	267	97.004	541	0.00e+00
GPALN_013729-T1	GLOROS_015268	173	173	100	100	173	97.110	342	7.03e-123
GPALN_007278-T1	GLOROS_000419	215	215	100	100	215	97.209	433	2.00e-157
GPALN_013803-T1	GLOROS_015181	997	960	100	100	997	89.970	1819	0.00e+00
GPALN_013558-T1	GLOROS_004356	505	472	93	100	472	97.246	961	0.00e+00
GPALN_003492-T1	GLOROS_007664	180	164	91	100	164	99.390	337	5.75e-121
GPALN_007642-T1	GLOROS_009781	168	125	74	100	125	94.400	244	4.75e-85
GPALN_015980-T1	GLOROS_013429	1139	1126	99	96	1149	88.077	1926	0.00e+00
GPALN_003352-T1	GLOROS_014335	126	116	82	91	105	88.571	171	1.02e-56
GPALN_011262-T1	GLOROS_001111	444	444	100	100	444	99.775	919	0.00e+00
GPALN_005066-T1	GLOROS_013798	348	301	86	99	299	98.997	626	0.00e+00
GPALN_013782-T1	GLOROS_015204	599	465	79	100	477	93.291	874	0.00e+00
GPALN_014763-T1	GLOROS_014483	353	321	89	92	317	73.186	410	3.57e-151
GPALN_010063-T1	GLOROS_016644	323	211	65	99	210	70.952	281	5.44e-96
GPALN_008741-T1	GLOROS_010622	996	973	99	100	1001	93.706	1917	0.00e+00
GPALN_002845-T1	GLOROS_006697	304	304	100	100	304	98.684	638	0.00e+00
GPALN_002020-T1	GLOROS_004584	439	443	100	95	439	94.533	840	0.00e+00
GPALN_008802-T1	GLOROS_010690	201	260	82	63	165	95.152	320	1.92e-112
GPALN_015549-T1	GLOROS_009037	761	563	64	84	487	94.045	916	0.00e+00
GPALN_014696-T1	GLOROS_014668	958	924	95	99	916	96.834	1833	0.00e+00
GPALN_001325-T1	GLOROS_005116	107	107	100	100	107	96.262	205	9.07e-71
GPALN_000552-T1	GLOROS_002513	1584	1300	80	99	1302	90.860	2168	0.00e+00
GPALN_016253-T1	GLOROS_003166	315	276	74	84	233	89.700	443	5.49e-159
GPALN_012641-T1	GLOROS_011350	412	399	100	100	413	93.220	759	0.00e+00
GPALN_003740-T1	GLOROS_007356	579	542	97	99	561	94.296	1082	0.00e+00
GPALN_011546-T1	GLOROS_001472	215	162	71	94	152	96.711	303	7.89e-107
GPALN_008703-T1	GLOROS_010569	570	501	85	96	482	95.228	905	0.00e+00
GPALN_007312-T1	GLOROS_000464	1094	675	64	100	706	84.844	818	0.00e+00
GPALN_000383-T1	GLOROS_002318	98	102	99	100	102	74.510	70.1	1.72e-18
GPALN_008816-T1	GLOROS_010707	267	215	81	100	215	99.535	440	1.71e-159
GPALN_007079-T1	GLOROS_011755	349	348	100	100	349	97.135	711	0.00e+00
GPALN_004999-T1	GLOROS_013744	180	177	98	100	177	94.915	355	4.54e-128
GPALN_012566-T1	GLOROS_011468	265	138	58	100	154	86.364	273	1.68e-94
GPALN_008694-T1	GLOROS_010556	262	262	100	100	262	93.511	523	0.00e+00
GPALN_006781-T1	GLOROS_017223	188	189	99	99	188	90.426	329	2.84e-117
GPALN_004858-T1	GLOROS_007880	625	409	65	99	407	95.332	791	0.00e+00
GPALN_000413-T1	GLOROS_002345	531	519	89	91	470	97.660	954	0.00e+00
