#type	scaffold	gene
effector	Gpscaff1	GPALN000707.T1
effector	Gpscaff1	GPALN001111.T1
effector	Gpscaff1	GPALN001149.T1
effector	Gpscaff1	GPALN001153.T1
effector	Gpscaff1	GPALN001252.T1
effector	Gpscaff1	GPALN001281.T1
effector	Gpscaff1	GPALN001284.T1
effector	Gpscaff1	GPALN001315.T1
effector	Gpscaff1	GPALN001641.T1
effector	Gpscaff1	GPALN001729.T1
effector	Gpscaff1	GPALN001738.T1
effector	Gpscaff1	GPALN001745.T1
effector	Gpscaff10	GPALN001912.T1
effector	Gpscaff10	GPALN002028.T1
effector	Gpscaff10	GPALN002106.T1
effector	Gpscaff10	GPALN002204.T1
effector	Gpscaff106	GPALN002288.T1
effector	Gpscaff106	GPALN002290.T1
effector	Gpscaff106	GPALN002294.T1
effector	Gpscaff106	GPALN002295.T1
effector	Gpscaff106	GPALN002300.T1
effector	Gpscaff11	GPALN002346.T1
effector	Gpscaff11	GPALN002349.T1
effector	Gpscaff11	GPALN002370.T1
effector	Gpscaff11	GPALN002377.T1
effector	Gpscaff11	GPALN002379.T1
effector	Gpscaff11	GPALN002383.T1
effector	Gpscaff11	GPALN002386.T1
effector	Gpscaff11	GPALN002387.T1
effector	Gpscaff11	GPALN002466.T1
effector	Gpscaff11	GPALN002494.T1
effector	Gpscaff11	GPALN002593.T1
effector	Gpscaff11	GPALN002666.T1
effector	Gpscaff110	GPALN002947.T1
effector	Gpscaff115	GPALN002969.T1
effector	Gpscaff12	GPALN002991.T1
effector	Gpscaff12	GPALN003010.T1
effector	Gpscaff12	GPALN003077.T1
effector	Gpscaff12	GPALN003083.T1
effector	Gpscaff12	GPALN003222.T1
effector	Gpscaff128	GPALN003306.T1
effector	Gpscaff13	GPALN003326.T1
effector	Gpscaff13	GPALN003368.T1
effector	Gpscaff13	GPALN003369.T1
effector	Gpscaff13	GPALN003381.T1
effector	Gpscaff13	GPALN003415.T1
effector	Gpscaff13	GPALN003416.T1
effector	Gpscaff14	GPALN003793.T1
effector	Gpscaff14	GPALN003794.T1
effector	Gpscaff14	GPALN003795.T1
effector	Gpscaff14	GPALN003831.T1
effector	Gpscaff14	GPALN003846.T1
effector	Gpscaff14	GPALN003852.T1
effector	Gpscaff14	GPALN003860.T1
effector	Gpscaff14	GPALN003876.T1
effector	Gpscaff14	GPALN003882.T1
effector	Gpscaff14	GPALN003891.T1
effector	Gpscaff14	GPALN003905.T1
effector	Gpscaff14	GPALN003908.T1
effector	Gpscaff14	GPALN003910.T1
effector	Gpscaff14	GPALN003911.T1
effector	Gpscaff14	GPALN003912.T1
effector	Gpscaff14	GPALN003913.T1
effector	Gpscaff14	GPALN003925.T1
effector	Gpscaff14	GPALN003942.T1
effector	Gpscaff14	GPALN003943.T1
