SEQENCE ID                     TM SP PREDICTION
GLOROS_000001-T1                0  0 o
GLOROS_000002-T1                0  0 i
GLOROS_000003-T1                0  0 o
GLOROS_000004-T1                0  0 o
GLOROS_000005-T1                0  0 o
GLOROS_000006-T1                0  0 i
GLOROS_000007-T1                0  0 o
GLOROS_000008-T1                0  0 o
GLOROS_000009-T1                0  0 o
GLOROS_000010-T1                0  0 o
GLOROS_000011-T1                0  0 o
GLOROS_000012-T1                0  0 i
GLOROS_000013-T1                0  0 o
GLOROS_000014-T1                0  0 o
GLOROS_000015-T1                0  0 o
GLOROS_000016-T1                1  0 o842-861i
GLOROS_000017-T1                0  0 o
GLOROS_000018-T1                2  0 i149-167o173-194i
GLOROS_000019-T1                2  0 o120-143i150-170o
GLOROS_000020-T1                0  0 o
GLOROS_000021-T1                0  0 o
GLOROS_000022-T1                0  0 o
GLOROS_000023-T1                0  0 o
GLOROS_000024-T1                0  0 o
GLOROS_000025-T1                0  0 o
GLOROS_000026-T1                0  0 o
GLOROS_000027-T1                0  0 o
GLOROS_000027-T2                0  0 o
GLOROS_000028-T1                2  0 i108-128o134-151i
GLOROS_000028-T2                0  0 o
GLOROS_000029-T1                0  0 o
GLOROS_000029-T2                0  0 o
GLOROS_000030-T1                0  Y n7-15c19/20o
GLOROS_000031-T1                0  Y n7-18c23/24o
GLOROS_000032-T1                0  0 i
GLOROS_000033-T1                2  0 i222-248o254-273i
GLOROS_000034-T1                0  0 o
GLOROS_000035-T1                0  Y n16-26c32/33o
GLOROS_000036-T1                0  0 o
GLOROS_000037-T1                0  0 o
GLOROS_000038-T1                0  0 o
GLOROS_000039-T1                0  0 i
GLOROS_000040-T1                0  0 o
GLOROS_000041-T1                0  0 o
GLOROS_000042-T1                0  0 o
GLOROS_000043-T1                0  0 o
GLOROS_000044-T1                0  0 o
GLOROS_000045-T1                0  0 o
GLOROS_000046-T1                0  0 o
GLOROS_000046-T2                0  0 o
GLOROS_000047-T1                0  0 o
GLOROS_000048-T1                0  0 o
GLOROS_000049-T1                1  0 o239-262i
GLOROS_000050-T1                0  0 o
GLOROS_000051-T1                1  0 o1028-1046i
GLOROS_000052-T1                0  0 o
GLOROS_000053-T1                0  0 o
GLOROS_000054-T1                0  0 o
GLOROS_000055-T1                0  Y n3-11c16/17o
GLOROS_000056-T1                5  0 o37-61i81-100o139-162i182-205o217-240i
GLOROS_000057-T1                2  0 i5-24o36-58i
GLOROS_000058-T1                0  Y n7-18c27/28o
GLOROS_000059-T1                0  0 o
GLOROS_000060-T1                0  0 o
GLOROS_000061-T1                0  0 o
GLOROS_000061-T2                0  0 o
GLOROS_000062-T1                0  0 o
GLOROS_000063-T1                3  0 o20-43i64-91o103-122i
GLOROS_000063-T2                3  0 o12-35i56-83o95-114i
GLOROS_000064-T1                0  0 o
