#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore	evalue
GPALLIND_000001-T1	GPALN_002497-T1	552	533	100	100	552	95.290	1075	0.00e+00
GPALLIND_000002-T1	GPALN_002498-T1	630	718	98	86	615	99.512	1253	0.00e+00
GPALLIND_000004-T1	GPALN_002499-T1	1225	1214	100	100	1280	83.516	2129	0.00e+00
GPALLIND_000005-T1	GPALN_002500-T1	178	178	100	100	178	100.000	369	2.09e-133
GPALLIND_000006-T1	GPALN_002501-T1	313	313	100	100	328	89.329	525	0.00e+00
GPALLIND_000007-T1	GPALN_002502-T1	320	325	100	100	325	93.538	596	0.00e+00
GPALLIND_000010-T2	GPALN_002503-T1	419	774	97	51	408	97.059	813	0.00e+00
GPALLIND_000011-T1	GPALN_002504-T1	569	569	100	100	569	100.000	1175	0.00e+00
GPALLIND_000012-T1	GPALN_002505-T1	370	364	100	100	370	98.378	735	0.00e+00
GPALLIND_000013-T1	GPALN_002507-T1	122	121	75	75	91	97.802	189	4.99e-64
GPALLIND_000016-T1	GPALN_002510-T1	535	535	100	100	535	99.439	1094	0.00e+00
GPALLIND_000017-T1	GPALN_002511-T1	540	540	100	100	540	99.815	1112	0.00e+00
GPALLIND_000018-T1	GPALN_002512-T1	532	885	87	53	473	71.459	665	0.00e+00
GPALLIND_000019-T1	GPALN_002513-T1	317	273	100	100	317	85.804	538	0.00e+00
GPALLIND_000024-T1	GPALN_002516-T1	135	135	100	100	135	100.000	282	1.87e-100
GPALLIND_000025-T1	GPALN_002517-T1	282	282	100	100	282	100.000	564	0.00e+00
GPALLIND_000026-T1	GPALN_002518-T1	438	438	100	100	438	100.000	904	0.00e+00
GPALLIND_000027-T1	GPALN_002519-T1	125	88	70	100	88	100.000	183	4.80e-62
GPALLIND_000028-T1	GPALN_002520-T1	446	493	100	90	446	99.776	919	0.00e+00
GPALLIND_000029-T1	GPALN_002522-T1	1057	1014	98	100	1040	96.923	2088	0.00e+00
GPALLIND_000030-T1	GPALN_002523-T1	241	243	98	98	237	100.000	475	4.50e-173
GPALLIND_000032-T1	GPALN_002524-T1	441	660	95	52	420	72.857	562	0.00e+00
GPALLIND_000034-T1	GPALN_002525-T2	743	743	100	100	743	100.000	1537	0.00e+00
GPALLIND_000034-T2	GPALN_002525-T1	926	926	100	100	926	100.000	1922	0.00e+00
GPALLIND_000036-T1	GPALN_002526-T1	105	123	58	50	61	75.410	95.5	4.57e-27
GPALLIND_000037-T1	GPALN_002527-T1	109	109	100	100	109	100.000	216	8.50e-75
GPALLIND_000038-T1	GPALN_002528-T1	288	532	98	53	281	98.577	572	0.00e+00
GPALLIND_000040-T1	GPALN_002529-T1	338	310	100	100	338	83.728	535	0.00e+00
GPALLIND_000041-T1	GPALN_002530-T1	423	423	100	100	423	99.764	862	0.00e+00
GPALLIND_000042-T2	GPALN_002531-T1	307	382	99	80	304	99.342	627	0.00e+00
GPALLIND_000046-T1	GPALN_002533-T1	575	600	100	100	608	91.776	1123	0.00e+00
GPALLIND_000047-T1	GPALN_002535-T1	2258	2248	100	100	2261	97.523	4256	0.00e+00
GPALLIND_000048-T1	GPALN_002537-T1	160	140	64	73	102	98.039	211	1.33e-71
GPALLIND_000049-T1	GPALN_002538-T1	437	657	100	67	437	96.339	873	0.00e+00
GPALLIND_000051-T1	GPALN_002539-T1	148	148	100	100	148	100.000	308	2.33e-110
GPALLIND_000052-T1	GPALN_002540-T1	397	381	97	99	387	94.315	712	0.00e+00
GPALLIND_000053-T1	GPALN_002541-T1	229	235	100	100	235	97.447	454	2.90e-165
GPALLIND_000054-T1	GPALN_002542-T1	550	525	91	98	527	89.374	948	0.00e+00
GPALLIND_000055-T1	GPALN_002543-T1	727	741	91	90	676	96.154	1330	0.00e+00
GPALLIND_000056-T1	GPALN_002544-T1	120	120	100	100	120	100.000	248	1.91e-87
GPALLIND_000057-T1	GPALN_002545-T1	479	478	100	100	479	97.077	935	0.00e+00
GPALLIND_000058-T1	GPALN_002546-T1	432	471	97	89	432	80.549	663	0.00e+00
GPALLIND_000060-T1	GPALN_002548-T1	962	942	96	98	926	99.028	1907	0.00e+00
GPALLIND_000062-T1	GPALN_002549-T1	407	605	100	67	407	99.509	845	0.00e+00
GPALLIND_000065-T1	GPALN_002552-T1	918	798	75	90	721	94.730	1409	0.00e+00
GPALLIND_000068-T1	GPALN_002555-T1	671	726	96	87	654	95.872	1268	0.00e+00
GPALLIND_000069-T1	GPALN_002556-T1	3607	4725	99	75	3736	85.814	6226	0.00e+00
GPALLIND_000072-T2	GPALN_002557-T1	573	590	71	69	409	99.267	836	0.00e+00
GPALLIND_000073-T1	GPALN_002559-T1	826	818	87	86	719	95.271	1383	0.00e+00
GPALLIND_000076-T1	GPALN_002562-T1	145	145	100	100	145	100.000	300	3.32e-107
GPALLIND_000077-T1	GPALN_002563-T1	3987	4046	99	99	4049	97.357	8167	0.00e+00
GPALLIND_000078-T1	GPALN_002564-T1	446	828	98	58	481	85.655	808	0.00e+00
GPALLIND_000081-T1	GPALN_002565-T1	473	429	90	99	427	98.829	873	0.00e+00
GPALLIND_000084-T1	GPALN_002567-T1	1317	1062	75	100	1065	87.887	1856	0.00e+00
GPALLIND_000085-T1	GPALN_002568-T2	435	608	100	72	440	97.727	886	0.00e+00
GPALLIND_000087-T1	GPALN_002569-T1	255	255	100	100	255	99.608	493	7.62e-180
GPALLIND_000088-T1	GPALN_002570-T1	146	146	100	100	146	97.260	285	3.39e-101
GPALLIND_000089-T1	GPALN_002571-T1	911	950	96	97	935	86.096	1469	0.00e+00
GPALLIND_000090-T1	GPALN_002572-T1	338	370	65	60	221	100.000	463	1.02e-164
GPALLIND_000091-T1	GPALN_002574-T1	156	154	100	100	156	92.308	296	3.23e-105
GPALLIND_000092-T1	GPALN_002575-T1	685	685	100	100	685	100.000	1415	0.00e+00
GPALLIND_000093-T1	GPALN_002576-T1	300	326	100	92	300	99.333	617	0.00e+00
GPALLIND_000094-T1	GPALN_002577-T1	405	417	100	100	418	92.823	773	0.00e+00
GPALLIND_000096-T1	GPALN_002578-T1	396	678	96	56	379	96.042	750	0.00e+00
GPALLIND_000097-T1	GPALN_002579-T1	846	601	70	98	589	97.793	1200	0.00e+00
GPALLIND_000106-T1	GPALN_002582-T1	79	79	100	100	79	100.000	166	2.93e-56
GPALLIND_000107-T1	GPALN_002583-T1	645	428	66	100	428	100.000	892	0.00e+00
GPALLIND_000112-T1	GPALN_002585-T1	301	301	100	100	301	100.000	629	0.00e+00
GPALLIND_000112-T2	GPALN_002585-T2	302	302	100	100	302	100.000	630	0.00e+00
GPALLIND_000113-T1	GPALN_002586-T2	339	339	100	100	339	100.000	700	0.00e+00
GPALLIND_000114-T1	GPALN_002587-T1	292	292	100	100	292	99.658	602	0.00e+00
GPALLIND_000115-T1	GPALN_002588-T1	281	299	100	100	299	93.980	575	0.00e+00
GPALLIND_000116-T1	GPALN_002589-T1	407	410	100	100	410	99.024	831	0.00e+00
GPALLIND_000117-T1	GPALN_002590-T1	1113	1773	99	63	1111	99.910	2337	0.00e+00
GPALLIND_000121-T1	GPALN_002591-T1	473	500	97	90	466	91.845	828	0.00e+00
GPALLIND_000122-T1	GPALN_002592-T1	626	611	100	100	626	95.687	1233	0.00e+00
GPALLIND_000123-T1	GPALN_002593-T1	295	251	65	78	196	92.347	371	4.26e-131
GPALLIND_000124-T1	GPALN_002594-T1	343	290	82	97	280	98.929	573	0.00e+00
GPALLIND_000125-T1	GPALN_002595-T1	131	131	100	100	131	99.237	266	2.88e-94
GPALLIND_000128-T1	GPALN_002598-T1	90	75	83	100	75	100.000	161	3.30e-54
GPALLIND_000129-T1	GPALN_002599-T1	157	157	100	100	157	99.363	311	2.35e-111
GPALLIND_000130-T1	GPALN_002600-T1	419	464	85	82	384	85.417	660	0.00e+00
GPALLIND_000131-T1	GPALN_002602-T1	431	423	93	94	399	99.499	837	0.00e+00
