#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore	evalue
GPALN_000004-T1	GPLIN_000404700	635	392	51	68	323	81.424	528	0.00e+00
GPALN_000005-T1	GPLIN_000404600	365	366	100	99	365	100.000	748	0.00e+00
GPALN_000006-T1	GPLIN_000404500	353	398	99	88	352	98.295	704	0.00e+00
GPALN_000008-T1	GPLIN_000396500	294	299	100	98	294	100.000	610	0.00e+00
GPALN_000011-T1	GPLIN_000396700	1297	1254	93	96	1205	99.502	2473	0.00e+00
GPALN_000012-T1	GPLIN_000396800	936	951	100	99	950	97.789	1919	0.00e+00
GPALN_000013-T1	GPLIN_000396900	324	539	97	58	314	98.408	644	0.00e+00
GPALN_000017-T1	GPLIN_000397300	307	308	100	99	307	100.000	644	0.00e+00
GPALN_000018-T1	GPLIN_000397400	1002	1031	99	97	996	99.598	2070	0.00e+00
GPALN_000019-T1	GPLIN_000397500	505	515	100	99	518	96.525	1028	0.00e+00
GPALN_000020-T1	GPLIN_000397600	5815	3543	61	99	3562	96.667	7011	0.00e+00
GPALN_000021-T1	GPLIN_000397900	1862	1562	60	70	1114	98.025	2229	0.00e+00
GPALN_000022-T1	GPLIN_000398100	1053	909	79	99	897	91.862	1681	0.00e+00
GPALN_000024-T1	GPLIN_000852800	485	465	100	99	485	95.464	937	0.00e+00
GPALN_000027-T1	GPLIN_000853000	344	470	91	71	334	93.413	630	0.00e+00
GPALN_000029-T1	GPLIN_000563300	609	671	69	63	420	99.048	863	0.00e+00
GPALN_000030-T1	GPLIN_000563400	398	396	100	99	398	98.241	814	0.00e+00
GPALN_000031-T1	GPLIN_000563500	282	251	66	87	218	84.862	361	2.45e-127
GPALN_000032-T1	GPLIN_000563600	188	187	100	99	188	98.936	322	2.09e-114
GPALN_000037-T1	GPLIN_000564000	3014	2547	68	83	2150	93.209	4089	0.00e+00
GPALN_000040-T1	GPLIN_000928600	1313	1420	82	77	1100	96.000	2159	0.00e+00
GPALN_000041-T1	GPLIN_000928500	1716	1644	98	99	1675	97.970	3420	0.00e+00
GPALN_000042-T1	GPLIN_000928400	271	274	100	99	273	99.267	543	0.00e+00
GPALN_000043-T1	GPLIN_000928300	1438	901	65	97	932	93.455	1808	0.00e+00
GPALN_000046-T1	GPLIN_000927900	631	598	100	99	631	94.612	1224	0.00e+00
GPALN_000047-T1	GPLIN_000927800	929	940	100	99	939	98.935	1934	0.00e+00
GPALN_000048-T1	GPLIN_001458200	297	298	100	99	297	98.990	593	0.00e+00
GPALN_000052-T1	GPLIN_000463700	962	826	86	99	831	96.992	1661	0.00e+00
GPALN_000053-T1	GPLIN_000463600	1138	1127	91	92	1034	99.710	2121	0.00e+00
GPALN_000055-T1	GPLIN_000649000	510	570	93	84	476	97.269	961	0.00e+00
GPALN_000057-T1	GPLIN_000648800	498	499	100	99	498	99.799	1015	0.00e+00
GPALN_000059-T1	GPLIN_001066000	438	439	100	99	438	97.489	860	0.00e+00
GPALN_000060-T1	GPLIN_001066100	307	376	97	79	298	98.993	606	0.00e+00
GPALN_000061-T1	GPLIN_001066200	864	544	61	97	544	93.566	1032	0.00e+00
GPALN_000062-T1	GPLIN_001066400	638	514	80	99	509	100.000	1066	0.00e+00
GPALN_000063-T1	GPLIN_000504000	821	649	81	95	666	90.090	1231	0.00e+00
GPALN_000064-T1	GPLIN_000503800	844	477	54	96	457	99.344	950	0.00e+00
GPALN_000065-T1	GPLIN_001326600	355	356	100	99	355	100.000	745	0.00e+00
GPALN_000066-T1	GPLIN_001326700	1236	1239	100	99	1238	99.758	2539	0.00e+00
GPALN_000067-T1	GPLIN_001326800	663	660	95	96	631	98.415	1268	0.00e+00
GPALN_000068-T1	GPLIN_001326900	1425	1145	81	99	1157	97.407	2232	0.00e+00
GPALN_000069-T1	GPLIN_001327200	335	191	51	89	170	100.000	358	2.89e-126
GPALN_000071-T1	GPLIN_001161700	701	702	100	99	701	100.000	1414	0.00e+00
GPALN_000072-T1	GPLIN_001161600	347	342	99	99	342	99.415	693	0.00e+00
GPALN_000073-T1	GPLIN_001161500	594	347	63	99	377	88.594	580	0.00e+00
GPALN_000074-T1	GPLIN_001161200	482	455	100	99	482	92.531	920	0.00e+00
GPALN_000075-T1	GPLIN_001161100	592	594	100	99	597	97.320	1182	0.00e+00
GPALN_000076-T1	GPLIN_001161000	481	454	100	99	481	89.189	861	0.00e+00
GPALN_000080-T1	GPLIN_001160700	226	133	54	92	123	100.000	254	8.98e-88
GPALN_000081-T1	GPLIN_001160600	2165	1986	95	99	2048	96.729	4040	0.00e+00
GPALN_000082-T1	GPLIN_001165500	1482	1179	68	87	1026	97.953	2081	0.00e+00
GPALN_000085-T1	GPLIN_000867600	199	200	100	99	199	100.000	413	3.68e-150
GPALN_000087-T1	GPLIN_000867400	125	129	100	99	128	95.312	213	3.82e-73
GPALN_000088-T1	GPLIN_000867300	133	157	100	85	133	98.496	275	1.98e-97
GPALN_000091-T1	GPLIN_000712000	622	572	95	99	591	96.616	1167	0.00e+00
GPALN_000093-T1	GPLIN_000810500	849	455	53	99	454	100.000	949	0.00e+00
GPALN_000094-T1	GPLIN_000810600	181	182	100	99	181	100.000	375	6.42e-136
GPALN_000099-T1	GPLIN_000810800	561	355	60	94	335	99.104	672	0.00e+00
GPALN_000100-T1	GPLIN_000810900	433	351	59	73	257	98.833	540	0.00e+00
GPALN_000101-T1	GPLIN_000811000	259	260	100	99	259	100.000	545	0.00e+00
GPALN_000102-T1	GPLIN_000811100	428	483	100	81	428	91.355	792	0.00e+00
GPALN_000103-T1	GPLIN_001241900	432	422	100	99	432	96.065	846	0.00e+00
GPALN_000104-T1	GPLIN_001241600	398	261	58	80	210	93.043	404	1.90e-145
GPALN_000105-T1	GPLIN_001241500	240	241	100	99	240	100.000	501	0.00e+00
GPALN_000106-T1	GPLIN_001241400	414	482	83	71	343	98.834	705	0.00e+00
GPALN_000107-T1	GPLIN_001241300	187	188	100	99	187	100.000	385	1.48e-139
GPALN_000108-T1	GPLIN_001241200	724	725	100	99	724	100.000	1510	0.00e+00
GPALN_000109-T1	GPLIN_001241100	535	504	92	98	493	100.000	1018	0.00e+00
GPALN_000114-T1	GPLIN_000866800	757	758	92	91	693	100.000	1383	0.00e+00
GPALN_000115-T1	GPLIN_001384500	567	886	94	60	536	99.440	1108	0.00e+00
GPALN_000116-T1	GPLIN_001384600	946	947	100	99	946	100.000	1943	0.00e+00
GPALN_000118-T1	GPLIN_001384700	503	491	97	99	490	98.367	1003	0.00e+00
GPALN_000119-T1	GPLIN_000490700	438	441	100	99	440	97.045	856	0.00e+00
GPALN_000120-T1	GPLIN_001395100	240	241	100	99	240	98.750	493	1.49e-180
GPALN_000121-T1	GPLIN_001395000	431	300	70	72	303	70.297	400	1.04e-139
GPALN_000128-T1	GPLIN_001257100	172	173	100	99	172	100.000	350	5.00e-126
GPALN_000129-T1	GPLIN_001257000	126	128	100	99	127	99.213	223	1.70e-77
GPALN_000133-T1	GPLIN_000205000	423	741	92	52	395	94.684	755	0.00e+00
GPALN_000135-T1	GPLIN_000204500	432	399	73	76	303	93.396	605	0.00e+00
GPALN_000136-T1	GPLIN_000204400	300	301	100	99	300	98.667	610	0.00e+00
GPALN_000138-T1	GPLIN_000204300	212	213	100	99	212	100.000	439	4.66e-160
GPALN_000147-T1	GPLIN_000203800	500	550	100	95	524	94.656	1006	0.00e+00
GPALN_000152-T1	GPLIN_000283200	160	120	66	99	119	86.555	206	4.52e-70
GPALN_000154-T1	GPLIN_000283100	445	718	99	61	440	99.318	902	0.00e+00
GPALN_000155-T1	GPLIN_000283000	90	91	100	99	90	100.000	184	8.06e-63
GPALN_000156-T1	GPLIN_000282900	506	507	100	99	506	100.000	1058	0.00e+00
GPALN_000157-T1	GPLIN_000282800	159	160	100	99	159	99.371	328	8.61e-118
GPALN_000158-T1	GPLIN_000282700	276	286	100	97	278	95.683	528	0.00e+00
GPALN_000159-T1	GPLIN_000282600	90	80	89	99	80	98.750	149	2.04e-49
GPALN_000160-T1	GPLIN_000282500	1020	799	75	97	778	95.373	1506	0.00e+00
GPALN_000161-T1	GPLIN_001456000	221	169	75	98	166	95.181	330	3.29e-117
GPALN_000172-T1	GPLIN_001106000	830	878	65	56	542	72.694	653	0.00e+00
GPALN_000173-T1	GPLIN_001105900	720	561	77	98	552	100.000	1110	0.00e+00
GPALN_000177-T1	GPLIN_001122600	188	179	95	99	178	98.315	367	1.28e-132
GPALN_000178-T1	GPLIN_001122500	1075	694	64	99	693	100.000	1462	0.00e+00
GPALN_000179-T1	GPLIN_001122400	439	440	100	99	439	100.000	917	0.00e+00
GPALN_000180-T1	GPLIN_001122300	1400	1248	61	63	850	86.353	1195	0.00e+00
GPALN_000187-T1	GPLIN_000717500	521	345	72	98	378	84.656	600	0.00e+00
GPALN_000191-T1	GPLIN_000717300	478	649	99	70	474	95.148	922	0.00e+00
GPALN_000200-T1	GPLIN_000513100	218	267	73	63	169	70.225	195	3.91e-64
GPALN_000207-T1	GPLIN_000595100	1854	1127	50	74	929	85.468	1564	0.00e+00
GPALN_000208-T1	GPLIN_000595400	1689	1641	64	65	1088	94.761	2095	0.00e+00
GPALN_000211-T1	GPLIN_001362400	442	448	53	50	233	87.554	329	2.17e-109
GPALN_000212-T1	GPLIN_000412900	212	355	98	59	208	99.038	409	4.79e-146
GPALN_000215-T1	GPLIN_001401300	636	615	94	99	615	95.610	1198	0.00e+00
GPALN_000216-T1	GPLIN_001506700	373	228	61	99	227	99.119	468	1.39e-168
GPALN_000221-T1	GPLIN_000758800	210	204	97	99	203	99.507	410	7.36e-149
GPALN_000222-T1	GPLIN_000758700	951	964	100	99	986	87.323	1607	0.00e+00
GPALN_000224-T1	GPLIN_000775500	1192	573	50	99	600	94.333	1161	0.00e+00
GPALN_000225-T1	GPLIN_000775300	1481	1525	66	65	988	98.988	2008	0.00e+00
GPALN_000226-T1	GPLIN_000775200	504	289	60	99	306	75.163	416	8.04e-145
GPALN_000228-T1	GPLIN_000775000	194	193	100	99	194	97.938	377	2.88e-136
GPALN_000229-T1	GPLIN_000774900	381	350	79	87	303	93.729	555	0.00e+00
GPALN_000230-T1	GPLIN_000774800	415	464	71	61	295	82.712	506	3.02e-179
GPALN_000232-T1	GPLIN_000774700	291	355	100	99	354	75.989	524	0.00e+00
GPALN_000233-T1	GPLIN_000774600	413	415	99	99	412	98.786	847	0.00e+00
GPALN_000234-T1	GPLIN_000774500	192	193	100	99	192	100.000	396	8.48e-144
GPALN_000235-T1	GPLIN_000774400	317	291	90	98	284	99.648	592	0.00e+00
GPALN_000237-T1	GPLIN_000774100	824	790	100	99	824	94.417	1566	0.00e+00
GPALN_000238-T1	GPLIN_000774000	1013	992	100	99	1013	96.841	2009	0.00e+00
GPALN_000242-T1	GPLIN_000773700	996	977	100	99	1009	93.657	1938	0.00e+00
GPALN_000243-T1	GPLIN_000773600	779	939	92	78	736	84.103	1192	0.00e+00
GPALN_000244-T1	GPLIN_000773500	645	647	100	99	646	99.536	1333	0.00e+00
GPALN_000245-T1	GPLIN_000773400	169	255	100	66	169	100.000	337	7.79e-120
GPALN_000247-T1	GPLIN_001620300	397	224	56	100	224	99.554	461	1.67e-165
GPALN_000248-T1	GPLIN_000773200	554	494	78	87	430	99.535	894	0.00e+00
GPALN_000250-T1	GPLIN_000773000	582	514	92	99	538	87.457	951	0.00e+00
