#gene	DOGBOX_motif	SUBBOX_motif	SPRYSEC(Y/N)	Secreted(Y/n)	annotation	GH_domain	duplication_type	up_J2_v_14dpi	up_J2_v_egg	Up_14_vs_J2	 Up_14_vs_EGG	up_male_vs_dpi14	upregulated_LOG2_FDR:p<0.001
GPALN_001111	1	-	-	YES	GPALN_001111-T1 Putative UDP-glucuronosyltransferase ugt-48	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP
GPALN_001252	4	-	-	YES	GPALN_001252-T1 Protein CBG17645	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_MALE_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_001912	3	-	-	YES	GPALN_001912-T1 ---NA---	-	singleton	up_J2_vs_14dpi	up_j2_v_egg	-	-	up_male_vs_dpi14	dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_dpi14_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_MALE_Gp_dpi21_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_MALE_Gp_dpi28_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_MALE_Gp_dpi35_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_MALE_Gp_EGG_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_002106	4	-	-	YES	GPALN_002106-T1 ---NA---	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_002290	5	-	YES	YES	GPALN_002290-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_002295	6	-	-	YES	GPALN_002295-T1 BTB/POZ domain-containing protein 2	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_002300	7	-	YES	YES	GPALN_002300-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_002383	4	-	-	YES	GPALN_002383-T1 ---NA---	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	Up_dpi14_vs_EGG	up_male_vs_dpi14	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_dpi14_UP; dpi21_vs_Gp_EGG_Gp_dpi21_UP; dpi21_vs_Gp_MALE_Gp_dpi21_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_MALE_Gp_dpi28_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_MALE_Gp_dpi35_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_002386	-	2	-	YES	"GPALN_002386-T1 beta-1,4-endoglucanase precursor"	CAZy:GH5_2; CAZy:GH5; 	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_EGG_Gp_EGG_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_EGG_Gp_EGG_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_EGG_Gp_EGG_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_EGG_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_002387	-	-	-	YES	"GPALN_002387-T1 beta-1,4-endoglucanase precursor"	CAZy:GH5_2; CAZy:GH5; 	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_EGG_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
