#gene	number_of_motif_upstream
GPALN_009900	35
GPALN_010793	19
GPALN_003416	14
GPALN_006035	14
GPALN_014355	13
GPALN_014357	12
GPALN_006067	11
GPALN_004265	10
GPALN_009497	10
GPALN_014354	10
GPALN_003415	9
GPALN_006057	9
GPALN_006059	9
GPALN_006752	9
GPALN_009498	9
GPALN_009796	9
GPALN_009823	9
GPALN_010789	9
GPALN_012062	9
GPALN_013384	9
GPALN_013496	9
GPALN_014268	9
GPALN_014395	9
GPALN_015295	9
GPALN_002947	8
GPALN_003795	8
GPALN_003975	8
GPALN_004734	8
GPALN_006061	8
GPALN_006756	8
GPALN_006860	8
GPALN_009815	8
GPALN_010093	8
GPALN_010659	8
GPALN_012056	8
GPALN_014747	8
GPALN_016360	8
GPALN_002294	7
GPALN_002300	7
GPALN_005953	7
GPALN_006754	7
GPALN_009586	7
GPALN_010554	7
GPALN_011858	7
GPALN_014271	7
GPALN_014750	7
GPALN_014857	7
GPALN_015298	7
GPALN_015309	7
GPALN_015314	7
GPALN_002295	6
GPALN_002969	6
GPALN_003222	6
GPALN_004064	6
GPALN_006124	6
GPALN_007670	6
GPALN_009695	6
GPALN_010231	6
GPALN_010232	6
GPALN_010970	6
GPALN_013277	6
GPALN_013280	6
GPALN_015116	6
GPALN_015280	6
GPALN_002290	5
GPALN_003793	5
GPALN_003925	5
GPALN_003953	5
GPALN_004679	5
GPALN_005905	5
GPALN_006413	5
GPALN_006755	5
GPALN_006759	5
GPALN_006828	5
GPALN_007844	5
GPALN_009458	5
GPALN_009532	5
GPALN_009978	5
GPALN_010636	5
GPALN_014398	5
GPALN_014746	5
GPALN_015073	5
GPALN_015296	5
GPALN_015299	5
GPALN_015302	5
GPALN_001252	4
GPALN_001745	4
GPALN_002028	4
GPALN_002106	4
GPALN_002370	4
GPALN_002383	4
GPALN_002666	4
GPALN_002991	4
GPALN_003326	4
GPALN_003794	4
GPALN_003997	4
GPALN_004254	4
GPALN_004410	4
GPALN_004411	4
GPALN_004480	4
GPALN_004555	4
GPALN_004798	4
GPALN_004862	4
GPALN_004881	4
GPALN_005801	4
GPALN_006223	4
GPALN_006853	4
GPALN_006856	4
GPALN_007436	4
GPALN_007708	4
GPALN_007748	4
GPALN_007848	4
GPALN_008101	4
GPALN_009056	4
GPALN_009505	4
GPALN_009589	4
GPALN_009825	4
GPALN_010542	4
GPALN_010968	4
GPALN_011823	4
GPALN_012007	4
GPALN_012064	4
GPALN_012284	4
GPALN_013347	4
GPALN_013350	4
GPALN_013383	4
GPALN_013545	4
GPALN_014145	4
GPALN_014379	4
GPALN_014381	4
GPALN_014665	4
GPALN_015769	4
GPALN_016091	4
GPALN_000453	3
GPALN_000707	3
GPALN_001149	3
GPALN_001153	3
GPALN_001641	3
GPALN_001729	3
GPALN_001738	3
GPALN_001893	3
GPALN_001912	3
GPALN_002204	3
GPALN_002288	3
GPALN_002349	3
GPALN_002862	3
GPALN_003010	3
GPALN_003077	3
GPALN_003083	3
GPALN_003368	3
GPALN_003369	3
GPALN_003381	3
GPALN_003445	3
GPALN_003831	3
GPALN_003860	3
GPALN_003876	3
GPALN_003952	3
GPALN_003954	3
GPALN_003970	3
GPALN_003977	3
GPALN_004130	3
GPALN_004553	3
GPALN_004554	3
GPALN_004557	3
GPALN_004587	3
GPALN_004897	3
GPALN_004901	3
GPALN_005017	3
GPALN_005038	3
GPALN_005058	3
GPALN_005067	3
GPALN_005129	3
GPALN_005554	3
GPALN_005611	3
GPALN_005738	3
GPALN_005986	3
GPALN_006581	3
GPALN_006596	3
GPALN_006766	3
GPALN_006769	3
GPALN_006775	3
GPALN_006780	3
GPALN_006818	3
GPALN_007058	3
GPALN_007072	3
GPALN_007178	3
GPALN_007179	3
GPALN_007181	3
GPALN_007445	3
GPALN_007737	3
GPALN_007811	3
GPALN_007837	3
GPALN_007899	3
GPALN_008074	3
GPALN_008108	3
GPALN_008303	3
GPALN_008462	3
GPALN_008474	3
GPALN_008535	3
GPALN_008779	3
GPALN_009154	3
GPALN_009323	3
GPALN_009492	3
GPALN_009580	3
GPALN_009640	3
GPALN_009670	3
GPALN_009902	3
GPALN_010432	3
GPALN_010433	3
GPALN_010621	3
GPALN_010737	3
GPALN_011399	3
GPALN_011715	3
GPALN_011812	3
GPALN_011865	3
GPALN_012134	3
GPALN_012287	3
GPALN_012366	3
GPALN_012415	3
GPALN_012838	3
GPALN_012843	3
GPALN_013104	3
GPALN_013109	3
GPALN_013459	3
GPALN_014005	3
GPALN_014146	3
GPALN_014235	3
GPALN_014261	3
GPALN_014378	3
GPALN_014477	3
GPALN_014498	3
GPALN_014514	3
GPALN_014672	3
GPALN_014707	3
GPALN_014881	3
GPALN_014904	3
GPALN_015013	3
GPALN_015014	3
GPALN_015100	3
GPALN_015193	3
GPALN_015218	3
GPALN_015272	3
GPALN_015304	3
